SpeedDifference_rad_s,Response,ResponseTime_s,Correct
-0.785398163397448,1,0.911826002000453,0
-1.5707963267949,1,0.337162059997354,1
1.5707963267949,2,0.000409639000281459,1
0,1,0.271424357000797,0
3.14159265358979,1,0.244156587999896,1
0,1,0.901631647000613,1
-0.785398163397448,1,0.428873053999268,0
-3.14159265358979,2,0.293575200998021,1
-3.14159265358979,2,0.25851089400021,1
-1.5707963267949,2,0.000212357001146302,1
3.14159265358979,1,3.12568092699803,1
0.785398163397448,2,1.34783317500114,1
0.785398163397448,1,0.285274665999168,1
1.5707963267949,1,6.43406664299982,0
